Table 3.1. Oyster model inventory.,,,,,,,,,,,,,
"[chl a, chlorophyll a; m, meter; m2, square meter, km2, square kilometer; ppt, parts per thousand; %, percent;  USGS, United State Geological Survey; LDWF, Louisiana Department of Wildlife and Fisheries; NOAA, National Oceanographic and Atmospheric Administration; CRMS, Coastwide Reference Monitoring Stations;  VIMS, Virginia Institute of Marine Sciences;  ADCIRC, Advanced Circulation Model; EPA, U.S. Environmental Protection Agency; LUMCON, Louisiana Marine Consortium]",,,,,,,,,,,,,
Model approach/Part of oyster life cycle,Reference,Location,Model description and objective, Model input variables,Timeframe and sources for input data in modeling study,Modeled processes ,Model output variables,Spatial description,Temporal description,Oyster model calibration/Validation,Coupled model calibration/Validation,Applicability for siting broodstock oyster reefs ,Model accessibility and ease of use
Habitat Suitability (Larval),"Milroy and others (2020a, b, c)","Louisiana, Mississippi, Alabama coastal shelf waters",Spatially explicit larval HSI using modeled coastal drifter location data coupled to simulated salinity and temperature fields generated from the Coupled-Ocean-Atmosphere-Wave-Sediment-Transport (COAWST) model ,"Salinity
Water Temperature","Coastal drifters were modeled from May through October 2017 using the COAWST model, with generated hourly salinity and temperature fields based on the modeled drifter locations","Suitability functions from 0 to 1
",Oyster Habitat Suitability (Larval) ,Larval HSI score estimated for drifter location and trajectory through time based on coupled COAWST model generated salinity and temperature,Hourly HSI score by larval drifter location and trajectory in 2017 over 28-day simulations for larval period,No formal calibration/validation performed for this publication. ,"None noted for this study listed on GRIIDC and using the COAWST model for the MS Sound and Bight (for example, Cambazoglu and Wiggert, 2020; Cambazoglu and others, 2020a, b, c, d)","This is an HSI type approach but for larvae, including water quality through drifter tracks to estimate larval survival.

Useful for thinking about larval movement including survival and for examining connectivity of resources. ","Ongoing works listed on GRIIDC as Milroy and others (2020a, b, c)"
Habitat Suitability Index ,Battista (1999),"Maryland (Chesapeake Bay), Atlantic Coast ","Geospatial HSI using Geographic Information System (GIS) framework to categorize oyster suitability based on drought, average, and flood river flow conditions in the estuary ","Disease (P. marinus intensity)
Salinity
Water temperature
Dissolved oxygen
Chlorophyll a
Bottom type/substrate

Total suspended solids 
","Salinity, temperature, water depth (meters), total suspended solids (TSS, grams per liter), bottom dissolved oxygen (DO, milligrams per liter), chl a (millgrams per cubic meter), and Perkinsus marinus intensity from digital environmental grids made from Chesapeake Bay Program (CBP) data sets for 18 stations from 1984-1996
 
Bottom substrate type data from MD DNR bottom survey (1974-1983) 

Susquehanna River flow data from USGS from 1968-1996 to categorize drought, average, and flood river flow ","Suitability functions from 0 to 1
",Oyster habitat suitability (On-reef oysters),"Continuous surface grids with cell size resolution of 2,500 m2 for project domain","Single HSI map produced for winter, spring, summer, fall under drought, average, and flood flow years (12 total maps), and an average annual map for drought, average, and flood flow year",No formal calibration/validation performed for this publication. ,Not applicable,Additional example of the geospatial HSI approach used in the Atlantic Ocean and summarized in table to provide additional summary information. ,Similar approaches exist for the Northern Gulf of Mexico. 
Habitat Suitability Index ,Starke and others (2011),"Hudson River Estuary, New York, Atlantic Coast",Geospatial HSI using GIS framework to identify suitable regions for oyster restoration in the estuary,"Salinity
Water Depth
Bottom Type/Substrate
","Sedimentary environment, sediment type, and water depth data subsampled from March through November via the New York State Department of Environmental Conservation GIS Clearinghouse between 1998 and 2003 

Mean bottom salinity across the study area calculated from long-term simulation of daily salinity by 2D hydrodynamic model from 1918-2005 .","Suitability functions from 0 to 1
","Oyster habitat suitability (On-reef oysters)

",Input data converted to raster format (10-m cell size) over Hudson River domain to estimate RSI score by cell,"Single RSI map generated for time period. RSI maps demonstrated for all four data layers, and each data layer, based on reclassified suitability values using weighting scenarios and salinity uncertainty for suitability.",No formal calibration/validation performed for this publication. ,None noted in this publication however the 2D hydrodynamic model simulating long-term conditions for Hudson River from 1918 to 2005 is maintained and used for state water resources and restoration projects,Additional example of the geospatial HSI approach used in the Atlantic and summarized in table to provide additional summary information ,Similar approaches exist that are calibrated for the Northern Gulf of Mexico. 
Habitat Suitability Index ,Theuerkauf and Lipscius (2016),"Great Wicomico River in Chesapeake Bay, Maryland., Atlantic Coast",Geospatial HSI using GIS framework to demonstrate quantitative validation of projected oyster reef HSI scores with live oyster density data collected from a network of low relief and high relief sanctuary reefs ,"Salinity
Bottom Type/Substrate
Water Depth ","Bottom type variables from 2009 NOAA acoustic seabed mapping and VIMS 2012 observations for oyster sanctuary network

Mean bottom salinity data from VIMS hydrodynamic model developed for Chesapeake Bay 

Bathymetric data from NOAA Chesapeake Bay DEM ","Suitability functions from 0 to 1
",Oyster habitat suitability (On-reef oysters),All point data converted to produce a 1×1-m raster grid of project domain ,Single map of HSI scores generated for 2011 ,Validation showed live oyster density data from 2011 VIMS surveys of low relief and high relief reefs in a sanctuary network were a sigmoidal function of projected HSI scores,None mentioned for VIMS hydrodynamic model of Chesapeake Bay tributaries ,Additional example of the geospatial HSI approach used in the Atlantic and summarized in table to provide additional summary information ,Similar approaches exist for the Northern Gulf of Mexico
Habitat Suitability Index ,Puckett and others (2018),"Pamlico Sound, N.C., Atlantic Coast",Geospatial HSI using GIS framework to evaluate oyster metapopulation persistence. Input parameters and weights decided from expert stakeholder meetings for oyster reef restoration,"Salinity
Dissolved oxygen
Bottom type/substrate
Water fepth
Proximity to stockpile sites

Sanctuary, cultch and natural reef larval export
Sanctuary , cultch and natural reef larval import
Boat ramp proximity 
SAV presence/location
Private lease location 
Nursery habitat location 
Military zone location
Navigational channel location","Summer salinity from 1987-2008, fall minimum DO from 1996-2014 and substrate type data from NC DMF surveys 

Water depth from NOAA bathymetry 

Larval import and export at reefs from May through August 2006-2010 from coupled hydrodynamic-particle tracking model 

Material stockpile sites, SAV, private leases, nursery areas from NC DMF surveys, public boat ramps from NC WRC,  military zones from NC DEQ, navigation channels from USGS ","Suitability functions from 0 to 1
",Oyster habitat suitability score (larval + on-reef oysters),"GIS-based geospatial grid of 5,987 1-km2 cells, which matched the spatial extent of the hydrodynamic and larval particle tracking model",Single map for HSI scores based on the combined data collection period,Validated model by demonstrating the HSI scores were a positive exponential function of normalized oyster density data on the oyster sanctuary reefs,"Hydrodynamic and oyster larval transport model previously validated for 2007 (Haase and others, 2012)","Additional example of the geospatial HSI approach used in the Atlantic and summarized in table to provide additional summary information …..............................................
Included expert stakeholder group to define 17 suitability variables and their weights for oyster reef restoration program","Similar approaches exist for the Northern Gulf of Mexico, but not with stakeholder input, and the number of logistical variables incorporated. "
Habitat Suitability Index ,Theuerkauf and others (2019),"Pamlico Sound, North Carolina, Atlantic Coast","Geospatial HSI using GIS framework for water filtration as an ecosystem service (ES) of reefs compared to and incorporated into the existing HSI for metapopulation persistence (see Puckett and others, 2018)","Chlorophyll a
Dissolved oxygen
Current velocities (flow) ","September monthly mean and % coeefficient of variation of chlorophyll a concentration from 300-m resolution satellite images from 2003 to 2011 

Bottom water flow velocity from ADCIRC model for September 2014, 2015 and 2012 

DO point data in fall at 522 stations between 1996 through 2014 ",Ecosystem Service/Suitability functions from 0 to 1,Oyster habitat suitability (larval + on-reef oysters),"GIS-based grid of 5,987 1-km2 cells ","Single map for HSI scores for the each of the three HSIs (ES HSI, metapopulation persistence HSI, and combined HSI) ",No formal calibration/validation performed for this publication.  ,"3D ADCIRC model previously validated for Pamilico Sound (Luettich and others, 1992, 2002)",Additional example of the geospatial HSI approach used in the Atlantic and summarized in table to provide additional summary information ,Similar approaches exist for the Northern Gulf of Mexico
Larval models ,,,,,,,,,,,,,
Larval Growth and Vertical Movement Model ,"Dekshenieks and others (1993, 1996, 1997)","Chesapeake Bay, Atlantic Coast ",Size-structured larval daily growth model with size-dependent movement and predation in a vertically resolved water column to evaluate larval oyster vertical distribution patterns in the water column,"Predation (mortality)
Salinity
Water Temperature
Food availability

Turbidity","10-m water column with 0.5-m vertical resolution for salinity, temperature, turbidity, food availability and predation mortality. Turbidity, food availability, and predation mortality change vertically and over time with salinity and temperature for 35 days ","Larval growth
Larval mortality
Larval behavior","Larval release location
Larval dispersal
Settlement/recruitment",Twenty 0.5-m vertical layers in a 10-m water column ,12-minute larval model timestep over 35-day model simulations ,"Modeled larval oyster sizes with vertical distribution verified with observed distribution of oyster size classes in 3-m water column for Great Bay, New Jersey (Carriker, 1951) in Dekshenieks and others (1993)",Not applicable,"Provides biological information on larval oyster growth and size-dependent vertical behavior with cues to temperature, salinity, turbidity and food that can be added to oyster larval transport models. ",Dekshenieks and others (2000) incorporates size-dependent movement into larval transport model for Galveston Bay.
"Larval Transport Model 
(with behavior) ",North and others (2008),"Chesapeake Bay Estuary, Atlantic Coast ",Vertical behavior for oyster larvae from laboratory studies added to the particle-tracking module (LTRANS) for the Regional Oceans Model System in Chesapeake Bay Estuary complex to determine if differences in larval behavior influence dispersal and encounters with suitable settlement habitat,"Oyster beds/cultch
Salinity
Current velocities (x,y,z)
Current velocities (x,y turbulence)","Regional Ocean Model System (ROMS) simulated current velocities, turbulence and salinity from 1995 to 1999 to drive larval transport model. 

GIS layer of oyster cultch polygons from bay bottom surveys conducted by Maryland in late 1970s to 1980, and by Virginia in the 1990s ","Larval transport
Larval growth
Larval behavior","Larval release location 
Larval dispersal
Settlement/recruitment ",Spatially explicit 3D particle tracking model in ROMS with 1-km horizontal grid spacing and 20 vertical layers for Chesapeake Bay.,Internal timestep of LTRANS is 120 seconds with 10-minute output timesteps for seasonal simulations of larval transport from June through August each year from 1995-1999.,No formal calibration/validation performed for this publication.,"ROMS Chesapeake Bay model (Li and others, 2005) previously validated for water elevations, current measurements, and long-term salinity and temperature time series data collected at stations by the Chesapeake Bay Program","Provides model of larval transport, connectivity and spat settlement across a network of reefs which are key to consider for broodstock reefs. 

Incorporates larval behavior. 

Provides seminal oyster larval transport modeling study often used in conceptualization and development of other larval transport models. ","Open source ROMS and off-line LTRANS code available online.

ROMS is one of many hydrodynamic modeling approaches available for use in the Northern Gulf of Mexico. "
"Larval Transport Model
(with growth and size-dependent behavior) ","Kim and others (2010, 2013)","Mobile Bay and eastern Mississippi Sound, Alabama, Northern Gulf of Mexico","Vertical behavior for oyster larvae added to the particle-tracking module of the Environmental Fluid Dynamics Code (EFDC) hydrodynamic and eutrophication model of Mobile Bay and Mississippi Sound to determine if larval transport describes persistent gradient in spat settlement decreasing from west to east, evaluate the seasonal variations and how flushing rates affect larval transport and retention, and determine if movement behavior influences transport ","Water temperature
Current velocities (x, y, z)
Current velocities (turbulence diffusivities) ","EFDC hydrodynamic and eutrophication model run for 2006 to drive larval transport model processes 

20-30 years of wind speed and direction, tidal amplitude, and river discharge data were used to create forcing functions in the EFDC to test how varying physical conditions affected retention and flux of larvae over additional 10-day simulations","Larval transport
Larval behavior","Larval release location
Larval dispersal
Settlement/recruitment","Spatially explicit particle tracking model in 21,705 surface-water cells with five vertical layers, with grid cell size ranging from 58 m to 2,000 m; spatial aggregation of observed and model predicted results by five larger zones in the project domain for larval transport model validation","Tracking daily larval transport over 215 days from April 1 to November 1, 2006; model validation simulations between predicted and observed data on time scale of overall average, season, and by oyster survey period",Validation of predicted oyster larval concentrations and spat settlement by five aggregated zones compared to observed bivalve larval concentration and spat settlement data from 18 stations collected every 3 weeks throughout 2006 ,"Noted in publication that EDFC surface elevation and salinity, mass transport was represented well for the system (Kim, 2009; Kim and Park, 2012)","Provides information on larval transport, connectivity and spat settlement across a network of reefs. 

Ability to examine connectivity and recruitment for predicted future conditions by using larval transport module with growth and behavior added in 3D hydrodynamic or circulation models","EFDC is one of many hydrodynamic and eutrophication modeling approaches available for use in the Northern Gulf of Mexico 

EFDC models have been set up for several Northern Gulf of Mexico estuaries and coastal regions by engineering firms for state and federal projects but are not available across all estuaries. "
Larval Transport Model ,Murray and others (2015),"Louisiana, Mississippi, Alabama nearshore and subtidal waters, Northern Gulf of Mexico","Oyster larval particle trajectories tracked in 2D particle tracking module of ADCIRC set up for 17 subtidal and nearshore subbasins from Vermilion Bay, Louisiana through Mobile Bay, Alabama to estimate the average settlement proportions of oyster larvae per subbasin for the Natural Resource Damage Assessment for DeepWater Horizon ","Oyster bed/cultch 
Current velocities (x, y)",ADCIRC runs from April through November of 2011 ,"Larval transport
","Release location
Dispersal
Settlement/recruitment

","Larval distribution and settlement recorded for 17 nearshore and subtidal subbasin polygons overlaid on ADCIRC model grid of the Louisiana, Mississippi, Alabama region. ADCIRC grid has mesh sizes as fine as 20-30 m in some nearshore regions",27 model runs for larval releases during spring and neap tidal cycles for 21-day simulations tracking daily larval particle positions and settlement among subbasin polygons in the Spring (April-June) and annual (April-November) time periods for 2011,No formal calibration/validation performed for this publication ,None mentioned in publication. ,Spatial scale of study is likely too large for regional-scale larval transport and settlement evaluation on specific reefs but potentially useful to think about connections within and between estuaries.,"ADCIRC is one of many hydrodynamic modeling approaches available for use in the Northern Gulf of Mexico. 

ADCIRC models have been set up for several Northern Gulf of Mexico estuaries and coastal regions by engineering firms for state and federal projects but are not available across all estuaries. "
"Larval Transport Model
(with growth and size-dependent behavior) ", Arnold and others (2017),"Pensacola Bay System, Fla., Northern Gulf of Mexico","Larval oyster particle tracking model tracking age, size, and vertical swim speed coupled to the ECOM hydrodynamic model to hindcast larval dispersal patterns and recruitment among reef stations in Pensacola Bay during four discrete 20-day events in August and October 2007, and June and July 2008","Salinity (food proxy)
Water temperature
Current velocities (x, y, z) ",ECOM runs from January 2007 through June 2008 to drive larval transport model,"Larval transport
Larval mortality
Larval behavior","Release location
Dispersal
Settlement/recruitment


","Spatially explicit 3D ECOM comprised of 2,533 cells ranging in size from 200 to 975 m with 10 vertical layers for the model domain",15-second time steps for four 20-day larval transport model simulations based on release dates using ECOM hydrodynamics from May 2007 through July 2008,Laval transport model compared to monthly oyster larval abundance from 18 stations and spat settlement collected at 15 stations in the estuary,ECOM calibrated to monthly salinity by depth from May 2007 through July 2008 for 20 stations in the Pensacola Bay System; NOAA station data from May 2007 through June 2008 used for ECOM model calibration of water elevation and velocities,"Provides information on larval transport, connectivity and spat settlement across a network of reefs. 

Ability to examine connectivity and recruitment for predicted future conditions by using larval transport module with growth and behavior in 3D hydrodynamic or circulation models critical for siting broodstock reefs. ","ECOM stems from POM with Princeton Ocean Model developed for many regions, including the Gulf of Mexico, in the late 1980s and 1990s


 "
Larval Transport Model (with depth-dependent mortality and behavior) ,Puckett and others (2014),"Pamlico Sound, N.C., Atlantic Coast","Larval oyster daily mortality and depth-regulated behavior from Dekshenieks and others (1996) added to particle tracking model tracking age, size, and vertical swim speed (Narvaez and others, 2012) coupled to ADCIRC 3D hydrodynamic model employing a simulation design to examine (1) natal reserve location, (2) spawning date, (3) particle behavior, (4) spatiotemporally explicit reproductive output, and (5) larval mortality affecting larval oyster dispersal and connectivity patterns among ten reef sites","Salinity (predation proxy)
Current velocities (x, y, z)
Current velocities (x, y diffusion) ","ADCIRC runs from May through August 2006 through 2010 with larval particles released from 10 oyster reserves for May-June and then July-August 2006-2010 

Reproductive output based on oyster fecundity per square meter data from May 2007-2008 and July August 2007 at six reserves (Mroch and others, 2012)","Larval transport
Larval mortality","Larval release location
Larval dispersal
Settlement/recruitment

","Spatially explicit particle tracking model in 41,330 ADCIRC elements with varying resolution from 0.3 to 1 km and 7 vertical layers for larval transport across the network of 10 reserve reefs","21-day simulations tracking daily larval positions, mortality, dispersal and settlement/recruitment occurring across 10 reef polygons","Particle tracking model used to simulate oyster larval transport was previously validated with surface drifters in Haase and others, 2012","ADCIRC validated in Pamlico Sound and adjacent waters in North Carolina (Luettich and others, 2002; Haase and others, 2012)","Provides information on larval transport, connectivity and spat settlement across a network of reefs.

Ability to examine connectivity and recruitment for predicted future conditions by using larval transport module with added mortality and behavior in 3D hydrodynamic or circulation models.","ADCIRC is one of many hydrodynamic modeling approaches available for use in the Northern Gulf of Mexico.

 ADCIRC models have been set up for several Northern Gulf of Mexico estuaries and coastal regions by engineering firms for state and federal projects"
